crop_id,crop_name,source_category_id,source_category_name,taxonomy_type_code,taxonomy_type_name,taxonomy_category_code,taxonomy_category_name,match_method,match_status,category_status,review_note
1,Maize ( Zea mays L.),1,Cereal Crops,maize,Maize,cereal,Cereal,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
2,Bread wheat (Triticum aestivum L.),1,Cereal Crops,bread-wheat,Bread wheat,cereal,Cereal,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
3,Durum Wheat,1,Cereal Crops,durum-wheat,Durum wheat,cereal,Cereal,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
4,Food Barley,1,Cereal Crops,barley,Barley,cereal,Cereal,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
5,Malt Barley,1,Cereal Crops,barley,Barley,cereal,Cereal,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
6,Tef ( Eragrostis tef),1,Cereal Crops,tef,Tef,cereal,Cereal,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
7,Sorghum (Sorghum bicolor),1,Cereal Crops,sorghum,Sorghum,cereal,Cereal,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
8,Millet,,,,,,,UNRESOLVED,UNRESOLVED,CATEGORY_MISSING,No reviewed workbook crop-type match
9,Rice,1,Cereal Crops,rice,Rice,cereal,Cereal,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
10,Finger Millet,1,Cereal Crops,finger-millet,Finger millet,cereal,Cereal,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
12,Triticale,1,Cereal Crops,triticale,Triticale,cereal,Cereal,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
13,Emmer wheat (Aja),1,Cereal Crops,emmer-wheat,Emmer wheat,cereal,Cereal,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
14,Buck wheat,10,Other Crops,buck-wheat,Buck wheat,cereal,Cereal,SOURCE_TYPE_CODE,MATCHED,DIVERGENT,Source and workbook classifications disagree; manual decision required
15,Pearl millet,1,Cereal Crops,pearl-millet,Pearl millet,cereal,Cereal,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
16,Foxtail millet,1,Cereal Crops,foxtail-millet,Foxtail millet,cereal,Cereal,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
17,Quinoa,1,Cereal Crops,quinoa,Quinoa,cereal,Cereal,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
18,Food oat,,,,,,,UNRESOLVED,UNRESOLVED,CATEGORY_MISSING,No reviewed workbook crop-type match
19,Faba bean,2,Pulse Crops,faba-bean,Faba bean,food-legume,Food legume,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
20,Field pea,2,Pulse Crops,field-pea,Field pea,food-legume,Food legume,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
21,Dekoko,2,Pulse Crops,dekoko,Dekoko,food-legume,Food legume,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
22,Chickpea,2,Pulse Crops,chickpea,Chickpea,food-legume,Food legume,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
23,Cowpea,2,Pulse Crops,cowpea,Cowpea,food-legume,Food legume,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
24,Lentil,2,Pulse Crops,lentil,Lentil,food-legume,Food legume,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
25,Common/Haricot/ bean,2,Pulse Crops,haricot-bean,Haricot bean,food-legume,Food legume,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
26,Soybean,3,Oil Crops,soybean,Soybean,oil-seeds,Oil seeds,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
27,Grass pea/ ''Guaya'',2,Pulse Crops,grass-pea,Grass pea,food-legume,Food legume,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
28,Mung bean,2,Pulse Crops,mung-bean,Mung bean,food-legume,Food legume,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
29,Fenugreek,10,Other Crops,fenugreek,Fenugreek,spices-condiments-medicinal-aromatic,"Spices, Condiments, Medicinal and Aromatic Plants",SOURCE_TYPE_CODE,MATCHED,ALIGNED,
